,src,trg,nij,score
0,4,13,1,0.6629213483146068
4,5,13,1,0.3454545454545454
33,12,13,1,0.4230769230769231
1,4,12,1,0.1935483870967742
5,5,12,2,0.10447761194029853
12,6,12,1,-0.09756097560975611
18,7,12,1,0.02777777777777779
23,8,12,1,0.02777777777777779
27,9,12,1,0.02777777777777779
30,10,12,1,0.02777777777777779
32,11,12,1,0.02777777777777779
67,13,12,1,0.4230769230769231
2,4,6,1,0.2436974789915966
11,5,6,2,0.15625000000000006
51,7,6,1,0.08029197080291972
50,8,6,1,0.08029197080291972
49,9,6,1,0.08029197080291972
48,10,6,1,0.08029197080291972
47,11,6,1,0.08029197080291972
46,12,6,1,-0.09756097560975611
3,4,5,2,0.4230769230769231
45,6,5,2,0.15625000000000006
44,7,5,1,-0.06329113924050635
43,8,5,1,-0.06329113924050635
42,9,5,1,-0.06329113924050635
41,10,5,1,-0.06329113924050635
40,11,5,1,-0.06329113924050635
39,12,5,2,0.10447761194029853
38,13,5,1,0.3454545454545454
6,5,11,1,-0.06329113924050635
13,6,11,1,0.08029197080291972
19,7,11,1,0.20325203252032517
24,8,11,1,0.20325203252032517
28,9,11,1,0.20325203252032517
31,10,11,1,0.20325203252032517
66,12,11,1,0.02777777777777779
7,5,10,1,-0.06329113924050635
14,6,10,1,0.08029197080291972
20,7,10,1,0.20325203252032517
25,8,10,1,0.20325203252032517
29,9,10,1,0.20325203252032517
65,11,10,1,0.20325203252032517
64,12,10,1,0.02777777777777779
8,5,9,1,-0.06329113924050635
15,6,9,1,0.08029197080291972
21,7,9,1,0.20325203252032517
26,8,9,1,0.20325203252032517
63,10,9,1,0.20325203252032517
62,11,9,1,0.20325203252032517
61,12,9,1,0.02777777777777779
9,5,8,1,-0.06329113924050635
16,6,8,1,0.08029197080291972
22,7,8,1,0.20325203252032517
60,9,8,1,0.20325203252032517
59,10,8,1,0.20325203252032517
58,11,8,1,0.20325203252032517
57,12,8,1,0.02777777777777779
10,5,7,1,-0.06329113924050635
17,6,7,1,0.08029197080291972
56,8,7,1,0.20325203252032517
55,9,7,1,0.20325203252032517
54,10,7,1,0.20325203252032517
53,11,7,1,0.20325203252032517
52,12,7,1,0.02777777777777779
37,5,4,2,0.4230769230769231
36,6,4,1,0.2436974789915966
35,12,4,1,0.1935483870967742
34,13,4,1,0.6629213483146068
