,nij,src,trg
0,0.0625,4,13
1,0.0625,4,12
2,0.1111111111111111,4,6
3,0.1736111111111111,4,5
4,0.0625,5,13
5,0.078125,5,12
6,0.015625,5,11
7,0.015625,5,10
8,0.015625,5,9
9,0.015625,5,8
10,0.015625,5,7
11,0.1267361111111111,5,6
12,0.015625,6,12
13,0.015625,6,11
14,0.015625,6,10
15,0.015625,6,9
16,0.015625,6,8
17,0.015625,6,7
18,0.015625,7,12
19,0.015625,7,11
20,0.015625,7,10
21,0.015625,7,9
22,0.015625,7,8
23,0.015625,8,12
24,0.015625,8,11
25,0.015625,8,10
26,0.015625,8,9
27,0.015625,9,12
28,0.015625,9,11
29,0.015625,9,10
30,0.015625,10,12
31,0.015625,10,11
32,0.015625,11,12
33,0.0625,12,13
0,0.0625,13,4
1,0.0625,12,4
2,0.1111111111111111,6,4
3,0.1736111111111111,5,4
4,0.0625,13,5
5,0.078125,12,5
6,0.015625,11,5
7,0.015625,10,5
8,0.015625,9,5
9,0.015625,8,5
10,0.015625,7,5
11,0.1267361111111111,6,5
12,0.015625,12,6
13,0.015625,11,6
14,0.015625,10,6
15,0.015625,9,6
16,0.015625,8,6
17,0.015625,7,6
18,0.015625,12,7
19,0.015625,11,7
20,0.015625,10,7
21,0.015625,9,7
22,0.015625,8,7
23,0.015625,12,8
24,0.015625,11,8
25,0.015625,10,8
26,0.015625,9,8
27,0.015625,12,9
28,0.015625,11,9
29,0.015625,10,9
30,0.015625,12,10
31,0.015625,11,10
32,0.015625,12,11
33,0.0625,13,12
