,nij,src,trg
0,0.25,4,13
1,0.125,4,12
2,0.16666666666666666,4,6
3,0.19444444444444442,4,5
4,0.29166666666666663,4,4
5,0.25,5,13
6,0.1875,5,12
7,0.125,5,11
8,0.125,5,10
9,0.125,5,9
10,0.125,5,8
11,0.125,5,7
12,0.22916666666666666,5,6
13,0.2361111111111111,5,5
14,0.0625,6,12
15,0.125,6,11
16,0.125,6,10
17,0.125,6,9
18,0.125,6,8
19,0.125,6,7
20,0.22916666666666666,6,6
21,0.0625,7,12
22,0.125,7,11
23,0.125,7,10
24,0.125,7,9
25,0.125,7,8
26,0.125,7,7
27,0.0625,8,12
28,0.125,8,11
29,0.125,8,10
30,0.125,8,9
31,0.125,8,8
32,0.0625,9,12
33,0.125,9,11
34,0.125,9,10
35,0.125,9,9
36,0.0625,10,12
37,0.125,10,11
38,0.125,10,10
39,0.0625,11,12
40,0.125,11,11
41,0.25,12,13
42,0.1875,12,12
43,0.25,13,13
0,0.25,13,4
1,0.125,12,4
2,0.16666666666666666,6,4
3,0.19444444444444442,5,4
5,0.25,13,5
6,0.1875,12,5
7,0.125,11,5
8,0.125,10,5
9,0.125,9,5
10,0.125,8,5
11,0.125,7,5
12,0.22916666666666666,6,5
14,0.0625,12,6
15,0.125,11,6
16,0.125,10,6
17,0.125,9,6
18,0.125,8,6
19,0.125,7,6
21,0.0625,12,7
22,0.125,11,7
23,0.125,10,7
24,0.125,9,7
25,0.125,8,7
27,0.0625,12,8
28,0.125,11,8
29,0.125,10,8
30,0.125,9,8
32,0.0625,12,9
33,0.125,11,9
34,0.125,10,9
36,0.0625,12,10
37,0.125,11,10
39,0.0625,12,11
41,0.25,13,12
